arxiv_id,reached_out_link,reached_out_success,reached_out_note,num_models,num_datasets,num_spaces,title,github,github_stars,conference_name,upvotes,num_comments,github_mention_hf,has_artifact,submitted_by,date
2305.03048,,0.0,,0.0,0.0,1.0,Personalize Segment Anything Model with One Shot,https://github.com/zrrskywalker/personalize-sam,1505.0,,9,1,1.0,True,akhaliq,2023-05-05
2305.02463,,0.0,,7.0,0.0,70.0,Shap-E: Generating Conditional 3D Implicit Functions,https://github.com/openai/shap-e,11606.0,,3,1,0.0,True,akhaliq,2023-05-05
2305.02483,,0.0,,0.0,0.0,0.0,ChatGPT-steered Editing Instructor for Customization of Abstractive Summarization,,,,3,1,0.0,False,akhaliq,2023-05-05
2305.03047,,0.0,,0.0,1.0,1.0,Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision,https://github.com/IBM/Dromedary,1119.0,NeurIPS2023,1,5,1.0,True,akhaliq,2023-05-05
2305.02440,,0.0,,0.0,0.0,0.0,Cheaply Evaluating Inference Efficiency Metrics for Autoregressive Transformer APIs,,,,1,0,0.0,False,akhaliq,2023-05-05
2305.02783,,0.0,,0.0,0.0,0.0,Automated Code generation for Information Technology Tasks in YAML through Large Language Models,,,,1,0,0.0,False,akhaliq,2023-05-05
2305.02412,,0.0,,0.0,0.0,0.0,"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents",,,,1,0,0.0,False,akhaliq,2023-05-05
2305.02790,,0.0,,0.0,0.0,0.0,BranchNorm: Robustly Scaling Extremely Deep Transformers,,,ACL2024,1,0,0.0,False,akhaliq,2023-05-05
2305.03052,,0.0,,0.0,0.0,0.0,Tracking through Containers and Occluders in the Wild,https://github.com/basilevh/tcow,39.0,CVPR2023,1,0,0.0,False,akhaliq,2023-05-05
2305.03043,,0.0,,0.0,0.0,0.0,Single-Shot Implicit Morphable Faces with Consistent Texture Parameterization,,,,5,0,0.0,False,akhaliq,2023-05-05
2305.02968,,0.0,,0.0,0.0,0.0,"Masked Trajectory Models for Prediction, Representation, and Control",https://github.com/facebookresearch/mtm,146.0,,1,0,0.0,False,akhaliq,2023-05-05
2305.03027,,0.0,,0.0,0.0,0.0,NeRSemble: Multi-view Radiance Field Reconstruction of Human Heads,,,,1,0,0.0,False,akhaliq,2023-05-05
2305.03040,,0.0,,0.0,0.0,0.0,TUVF: Learning Generalizable Texture UV Radiance Fields,,,,1,0,0.0,False,akhaliq,2023-05-05
